Region;2015-01-01 00:00:00;2016-01-01 00:00:00;2017-01-01 00:00:00;2018-01-01 00:00:00;2019-01-01 00:00:00;2020-01-01 00:00:00;2021-01-01 00:00:00
Белгородская область;23702;24444;25968;28434;30094;32296;34999
Брянская область;19754;20092;21458;23606;24989;26077;28552
Владимирская область;21995;22807;24239;26781;27957;29769;32368
Воронежская область;22413;23396;24616;26820;28263;29723;32706
Ивановская область;18031;19335;20140;21943;22924;23965;25909
Калужская область;27254;27949;30024;33329;34495;36567;39817
Костромская область;19267;20208;21619;24389;26572;27431;30290
Курская область;22202;22628;23785;26087;27815;30075;33551
Липецкая область;23094;23369;24726;27285;29214;30734;33186
Московская область;38172;38830;41921;45377;46417;47677;51548
Орловская область;19876;20968;22350;24632;26080;27701;30495
Рязанская область;23015;23797;25146;27800;29054;30927;33796
Смоленская область;21065;22543;23400;26094;27425;28253;30893
Тамбовская область;20572;20908;22083;23795;24714;26359;28754
Тверская область;22111;22665;23806;26756;27979;30163;33267
Тульская область;24013;25678;27465;29770;31469;33453;36298
Ярославская область;24473;25147;26883;29166;30863;32023;34623
г. Москва;57971;59823;62186;68176;72331;76501;82185
Республика Карелия;25983;28949;30493;34215;36575;39446;41918
Республика Коми;35060;39143;41101;44853;46609;50500;52843
Архангельская область;31250;35237;36795;41362;44732;47986;51753
Ненецкий авт. округ;63000;68216;70550;78624;83881;87801;89769
Архангельская область (без авт. округа);29225;32874;34563;38900;42105;45181;49200
Вологодская область;24290;25919;27897;31169;33559;36527;38526
Калининградская область;25967;26436;27632;29726;30883;31760;34764
Ленинградская область;29305;31462;34549;38372;39280;40555;43595
Мурманская область;39424;43928;46974;51897;54781;59909;64819
Новгородская область;23478;25034;26278;28037;28232;29857;32742
Псковская область;19795;20765;21873;24102;25502;27393;29519
г. Санкт-Петербург;41540;42001;46516;51098;54244;56531;61991
Республика Адыгея;19268;20479;21771;24105;25699;27498;30155
Республика Калмыкия;18143;18614;19580;22040;23419;25523;26926
Республика Крым;18979;20658;22023;24902;26962;27567;30318
Краснодарский край;24115;24981;26213;29199;29922;31509;34492
Астраханская область;22981;23523;24798;27780;28237;30132;32035
Волгоградская область;22241;22885;23934;26027;26709;28339;30143
Ростовская область;22232;23156;24600;27257;27556;28982;31730
г. Севастополь;19754;21718;23501;26738;28481;31623;34745
Республика Дагестан;15702;17301;18633;21121;21225;23802;24348
Республика Ингушетия;18596;19199;19253;21085;21603;23498;24663
Кабардино-Балкарская Республика;17609;18362;19070;20925;21032;21745;24071
Карачаево-Черкесская Республика;18588;19166;20180;21547;21947;23753;25679
Республика Северная Осетия - Алания;17195;19028;20206;21904;22257;24398;25652
Чеченская Республика;17977;19422;20154;22647;22795;24962;25530
Ставропольский край;20643;21341;22696;24179;25180;26614;29259
Республика Башкортостан;23137;25335;27111;30033;31588;33461;35973
Республика Марий Эл;20028;20518;22100;24307;25516;27504;29561
Республика Мордовия;20019;20376;21340;23273;23386;25668;28029
Республика Татарстан;27247;27544;29268;31476;32234;34106;38240
Удмуртская Республика;22044;24078;25729;28221;29230;30673;33005
Чувашская Республика;19442;20644;21989;23947;25451;27385;29813
Пермский край;25510;26714;28665;30648;32883;35178;37598
Кировская область;19757;20813;22178;24280;25582;27524;29836
Нижегородская область;23975;25441;27038;29514;30677;32917;35824
Оренбургская область;22318;23972;24995;27275;29570;31021;33348
Пензенская область;19822;22300;23382;25451;26096;26637;28971
Самарская область;25015;25362;27144;29485;30503;31984;35094
Саратовская область;19643;20642;21608;23481;25836;28134;31040
Ульяновская область;20803;21496;22614;24539;25835;27219;29444
Курганская область;19367;20762;22329;24682;27148;28701;30956
Свердловская область;27686;28959;31365;34339;36181;38227;41672
Тюменская область;49880;53800;57704;60988;62648;66570;70476
Ханты-Мансийский авт. округ - Югра;54815;58060;60147;63150;64622;68035;71797
Ямало-Ненецкий авт. округ;68310;77368;81809;88596;90791;98734;104272
Тюменская область (без авт. округов);34277;34636;38272;41256;42482;43879;47222
Челябинская область;27053;27453;28523;30450;31168;32440;35636
Республика Алтай;19305;21524;22508;25720;28831;31137;33704
Республика Тыва;25114;26726;27995;31222;33870;37533;38983
Республика Хакасия;26349;27814;28902;32071;33453;36480;39253
Алтайский край;19021;19337;20508;22191;23123;24815;27523
Красноярский край;32482;34468;36447;40075;42107;45915;50204
Иркутская область;28648;31110;33064;36913;39774;42751;46021
Кемеровская область;26008;26888;28829;32684;35300;36724;40392
Новосибирская область;26312;26796;28959;31552;33663;36050;39467
Омская область;24190;24824;26152;28499;29587;31338;33438
Томская область;30071;31604;32871;36121;37692;38905;41006
Республика Бурятия;25051;26230;27722;30355;33307;35080;37337
Республика Саха (Якутия);48955;53031;55512;61474;64437;67569;71374
Забайкальский край;26747;28624;30320;34273;35832;38678;41872
Камчатский край;48364;54219;57529;63452;69614;73909;77839
Приморский край;29242;31156;32807;36024;39300;41943;45698
Хабаровский край;35246;36830;38692;42417;45055;46555;49783
Амурская область;28592;30551;33161;37436;40687;44805;48964
Магаданская область;57554;61454;65358;72708;81106;87316;95806
Сахалинская область;54508;56789;59620;65597;71680;75169;76979
Еврейская авт. область;27247;28716;30550;34614;37350;39395;42641
Чукотский авт. округ;71690;79502;83969;89976;97125;106912;114530
