Age;2017;2018;2019;2020;2021;2022
0;5395;4879;4497;4329;4524;4406
1;5631;5474;4942;4568;4791;4720
2;4801;5735;5603;5026;5060;4999
3;4774;4907;5861;5700;5693;5246
4;4923;4898;5018;5940;6314;5868
5;4653;5038;5011;5094;6735;6494
6;4570;4756;5138;5106;6112;6957
7;4747;4761;4936;5278;6312;6410
8;4555;4838;4808;4986;6337;6482
9;4435;4657;4935;4852;6019;6485
10;4086;4516;4738;5023;5822;6179
11;3855;4171;4599;4817;5950;6022
12;4092;3934;4263;4662;5670;6083
13;3632;4174;3994;4324;5518;5845
14;3355;3715;4246;4050;5083;5652
15;3209;3492;3805;4352;4780;5263
16;3387;3328;3628;3953;5169;4967
17;3354;3711;3442;3763;4652;5269
18;3600;3663;3870;3641;4544;4868
19;4017;3691;3743;3956;4217;4771
20;4233;4073;3746;3788;4453;4456
21;5279;4260;4090;3602;4115;4674
22;4868;5324;4326;4003;3907;4291
23;4690;4952;5425;4457;4589;4168
24;5137;4798;5065;5574;5129;4823
25;6035;5285;4902;5176;6353;5318
26;6340;6212;5396;5003;6059;6569
27;6914;6547;6331;5548;5913;6325
28;7498;7062;6697;6458;6634;6137
29;7827;7709;7212;6819;7578;6907
30;8144;8039;7865;7421;8153;7866
31;7908;8356;8235;8016;8873;8457
32;7942;8121;8562;8421;9588;9197
33;8089;8127;8292;8704;10080;9951
34;7452;8286;8332;8489;10352;10453
35;7110;7608;8426;8553;10074;10714
36;7274;7240;7788;8631;10059;10363
37;6724;7404;7375;7930;10175;10367
38;6652;6896;7486;7506;9318;10505
39;6345;6765;7011;7647;8781;9590
40;6268;6430;6868;7109;8916;9021
41;6374;6351;6513;6989;8272;9140
42;6170;6464;6474;6575;8081;8488
43;5821;6276;6547;6532;7553;8306
44;5868;5926;6356;6631;7402;7781
45;5559;5943;5994;6420;7529;7564
46;5415;5637;6003;6040;7272;7683
47;5077;5478;5677;6020;6801;7375
48;5011;5145;5516;5724;6747;6927
49;4810;5086;5179;5534;6446;6854
50;4871;4862;5101;5207;6144;6576
51;4902;4900;4893;5107;5794;6259
52;5164;4953;4917;4927;5699;5918
53;5514;5212;5016;4961;5505;5797
54;5702;5576;5218;5021;5513;5594
55;5817;5735;5602;5255;5571;5586
56;6038;5871;5775;5592;5795;5658
57;5983;6076;5904;5758;6128;5877
58;6030;6000;6095;5926;6366;6176
59;5927;6027;6023;6086;6573;6428
60;5787;5931;6016;6045;6647;6612
61;5803;5773;5927;6006;6562;6719
62;6232;5772;5731;5935;6570;6596
63;5668;6201;5742;5744;6404;6578
64;5758;5606;6168;5714;6080;6396
65;5416;5714;5580;6111;6062;6090
66;5294;5372;5640;5541;6524;6041
67;5613;5213;5339;5601;5817;6484
68;4536;5523;5151;5299;5904;5737
69;4442;4464;5435;5094;5560;5800
70;3975;4360;4387;5344;5294;5457
71;2380;3894;4278;4296;5532;5209
72;2178;2303;3830;4180;4488;5407
73;1886;2117;2266;3731;4296;4342
74;2559;1824;2047;2183;3834;4174
75;3443;2488;1768;1980;2250;3698
76;3372;3286;2359;1691;1999;2157
77;3610;3213;3155;2251;1704;1882
78;3360;3401;3037;3018;2239;1592
79;3543;3174;3210;2863;3000;2110
80;20346;22134;23028;24100;26372;26729
